id, date, sales, stock
123, 2024-01-01, 20, 80
123, 2024-01-02, 25, 60
123, 2024-01-03, 15, 35
123, 2024-01-04, 20, 20
123, 2024-01-05, 0, 0
123, 2024-01-06, 15, 100
123, 2024-01-07, 20, 85
123, 2024-01-08, 30, 65
123, 2024-01-09, 15, 35
123, 2024-01-10, 10, 20
123, 2024-01-11, 10, 10
123, 2024-01-12, 0, 0
123, 2024-01-13, 0, 0
123, 2024-01-14, 25, 100
123, 2024-01-15, 10, 75
123, 2024-01-16, 0, 65
123, 2024-01-17, 20, 65
123, 2024-01-18, 15, 45
123, 2024-01-19, 20, 30
123, 2024-01-20, 10, 10
123, 2024-01-21, 0, 0
123, 2024-01-22, 15, 50
123, 2024-01-23, 5, 35
123, 2024-01-24, 15, 100
123, 2024-01-25, 20, 85
123, 2024-01-26, 10, 65
123, 2024-01-27, 15, 55
123, 2024-01-28, 25, 40
123, 2024-01-29, 10, 15
123, 2024-01-30, 5, 5
123, 2024-01-31, 20, 100
111, 2024-01-21, 20, 100
111, 2024-01-22, 25, 80
111, 2024-01-23, 15, 55
111, 2024-01-24, 20, 40
111, 2024-01-25, 10, 20
111, 2024-01-26, 35, 110
111, 2024-01-27, 20, 75
111, 2024-01-28, 30, 65
111, 2024-01-29, 15, 35
111, 2024-01-30, 10, 120
111, 2024-01-31, 15, 110
111, 2024-02-01, 15, 95
111, 2024-02-02, 25, 80
111, 2024-02-03, 25, 55
111, 2024-02-04, 10, 30
111, 2024-02-05, 0, 20
111, 2024-02-06, 30, 120
111, 2024-02-07, 15, 90
111, 2024-02-08, 20, 75
111, 2024-02-09, 10, 55
111, 2024-02-10, 15, 45
111, 2024-02-11, 15, 30
111, 2024-02-12, 5, 15
111, 2024-02-13, 25, 110
111, 2024-02-14, 20, 85
111, 2024-02-15, 10, 65
111, 2024-02-16, 15, 55
111, 2024-02-17, 25, 40
111, 2024-02-18, 10, 15
111, 2024-02-19, 5, 5
111, 2024-02-20, 0, 0
657, 2024-01-21, 2, 200
657, 2024-01-22, 3, 198
657, 2024-01-23, 2, 195
657, 2024-01-24, 5, 193
