id, month, coef
123, 1, 2
123, 2, 1.5
123, 3, 0.5
123, 4, 0.2
123, 5, 0
123, 6, 0
123, 7, 0
123, 8, 0.5
123, 9, 1
123, 10, 2.5
123, 11, 3
123, 12, 2.5
111, 1, 2.5
111, 2, 1.5
111, 3, 0.5
111, 4, 1
111, 5, 2.5
111, 6, 3
111, 7, 3
111, 8, 2
111, 9, 1.5
111, 10, 1
111, 11, 1.5
111, 12, 2.5
657, 1, 1.5
657, 2, 1.5
657, 3, 0.5
657, 4, 0
657, 5, 0
657, 6, 0
657, 7, 1
657, 8, 2
657, 9, 2.5
657, 10, 2.5
657, 11, 3
657, 12, 2
275, 1, 2
275, 2, 1.5
275, 3, 0.5
275, 4, 0.2
275, 5, 0
275, 6, 0
275, 7, 0
275, 8, 0.5
275, 9, 1
275, 10, 2.5
275, 11, 3
275, 12, 2.5
784, 1, 2
784, 2, 1.5
784, 3, 0.5
784, 4, 0.2
784, 5, 0
784, 6, 0
784, 7, 0
784, 8, 0.5
784, 9, 1
784, 10, 2.5
784, 11, 3
784, 12, 2.5
557, 1, 3
557, 2, 2
557, 3, 2
557, 4, 1
557, 5, 0.5
557, 6, 1.5
557, 7, 2
557, 8, 3
557, 9, 2.5
557, 10, 3
557, 11, 2
557, 12, 2.5
323, 1, 2
323, 2, 3
323, 3, 3
323, 4, 2
323, 5, 1.5
323, 6, 1.5
323, 7, 2
323, 8, 3
323, 9, 1.5
323, 10, 2
323, 11, 2
323, 12, 1.5
236, 1, 2.5
236, 2, 2.5
236, 3, 1.5
236, 4, 1
236, 5, 0
236, 6, 0
236, 7, 1
236, 8, 2
236, 9, 1.5
236, 10, 1.5
236, 11, 2
236, 12, 2
72, 1, 0.2
72, 2, 0.4
72, 3, 0.4
72, 4, 0.8
72, 5, 1.2
72, 6, 1.9
72, 7, 1
72, 8, 0.5
72, 9, 0.3
72, 10, 0.1
72, 11, 0.5
72, 12, 0.4
852, 1, 2.5
852, 2, 2
852, 3, 1.5
852, 4, 1.2
852, 5, 1
852, 6, 0.5
852, 7, 0
852, 8, 0.5
852, 9, 1
852, 10, 1.7
852, 11, 2.5
852, 12, 3
